X,Y,publicaddress,caseNumber,precinct,reportedDate,reportedTime,beginDate,reportedDateTime,beginTime,offense,description,UCRCode,enteredDate,centergbsid,centerLong,centerLat,centerX,centerY,neighborhood,lastchanged,LastUpdateDateETL,OBJECTID
-93.2801877371455,44.9850422380653,0006XX 5TH ST N,MP20212194          ,1     ,2021/01/04 00:00:00+00,741,2021/01/04 00:00:00+00,2021/01/04 07:41:00+00,741,AUTOTH  ,AUTOMOBILE THEFT              ,8.0,2021/01/05 00:00:00+00,16909.0,-93.28019274,44.98504707,-10383903,5619167,North Loop,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,1
-93.27932535447279,44.9670393619926,0015XX LASALLE AVE ,MP20212207          ,1     ,2021/01/04 00:00:00+00,900,2021/01/03 00:00:00+00,2021/01/04 09:00:00+00,1730,AUTOTH  ,AUTOMOBILE THEFT              ,8.0,2021/01/05 00:00:00+00,15055.0,-93.27932994,44.96704546,-10383807,5616334,Loring Park,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,2
-93.29685148566591,45.0194689828594,0035XX GIRARD AVE N,MP20212245          ,4     ,2021/01/05 00:00:00+00,900,2020/11/03 00:00:00+00,2021/01/05 09:00:00+00,1800,THEFT   ,OTHER THEFT                   ,7.0,2021/01/05 00:00:00+00,19932.0,-93.29685159,45.019471200000005,-10385758,5624587,Folwell,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,3
-93.30582565535428,44.9821067505748,0004XX NEWTON AVE N,MP20212252          ,4     ,2021/01/04 00:00:00+00,1000,2021/01/04 00:00:00+00,2021/01/04 10:00:00+00,930,AUTOTH  ,AUTOMOBILE THEFT              ,8.0,2021/01/05 00:00:00+00,22100.0,-93.30582718,44.98210834,-10386757,5618705,Harrison,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,4
-93.2689677792469,44.944077974785,0032XX 5TH AVE S,MP20212263          ,3     ,2021/01/04 00:00:00+00,951,2021/01/04 00:00:00+00,2021/01/04 09:51:00+00,945,CARJCK  ,ROBBERY INCLUDING AUTO THEFT  ,,2021/01/05 00:00:00+00,20656.0,-93.26897652,44.9440796,-10382654,5612722,Central,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,5
-93.2581610463789,44.97824336913939,0002XX PARK AVE ,MP20212303          ,1     ,2021/01/04 00:00:00+00,1057,2021/01/03 00:00:00+00,2021/01/04 10:57:00+00,530,BURGB   ,BURGLARY OF BUSINESS          ,6.0,2021/01/05 00:00:00+00,23171.0,-93.25816416,44.97824419,-10381451,5618097,Downtown East,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,6
-93.26705436769171,44.953735336521206,0006XX 27TH ST E,MP20212315          ,3     ,2021/01/04 00:00:00+00,1849,2021/01/03 00:00:00+00,2021/01/04 18:49:00+00,1700,TFMV    ,THEFT FROM MOTR VEHC          ,7.0,2021/01/05 00:00:00+00,14938.0,-93.26705649,44.95373676,-10382441,5614241,Phillips West,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,7
-93.2575501919857,45.005808741390496,0017XX WASHINGTON ST NE,MP20212317          ,2     ,2021/01/04 00:00:00+00,1238,2021/01/02 00:00:00+00,2021/01/04 12:38:00+00,200,TMVP    ,THEFT-MOTR VEH PARTS          ,7.0,2021/01/05 00:00:00+00,15292.0,-93.25755429,45.0058149,-10381383,5622436,Holland,2021/01/07 00:00:00+00,2021/01/08 07:00:46+00,8
-93.2783641571187,44.9861986009585,0003XX 7TH AVE N,MP20212318          ,1     ,2021/01/04 00:00:00+00,1135,2020/12/31 00:00:00+00,2021/01/04 11:35:00+00,1200,THFTSW  ,THEFT BY SWINDLE              ,7.0,2021/01/05 00:00:00+00,16914.0,-93.27836561,44.98619968,-10383700,5619349,North Loop,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,9
-93.26392823050301,44.90431882666449,0054XX COLUMBUS AVE ,MP20212335          ,3     ,2021/01/04 00:00:00+00,1945,2021/01/04 00:00:00+00,2021/01/04 19:45:00+00,1,BURGD   ,BURGLARY OF DWELLING          ,6.0,2021/01/05 00:00:00+00,14614.0,-93.26393397,44.9043197,-10382093,5606471,Page,2021/01/13 00:00:00+00,2021/01/14 07:00:16+00,10
-93.29017700310492,44.982786627935496,0008XX 5TH AVE N,MP20212340          ,4     ,2021/01/04 00:00:00+00,1330,2021/01/03 00:00:00+00,2021/01/04 13:30:00+00,1300,BURGD   ,BURGLARY OF DWELLING          ,6.0,2021/01/05 00:00:00+00,15717.0,-93.29018524,44.98278712,-10385015,5618812,Sumner - Glenwood,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,11
-93.2466985433535,44.9323140164282,0018XX 39TH ST E,MP20212346          ,3     ,2021/01/04 00:00:00+00,2203,2021/01/04 00:00:00+00,2021/01/04 22:03:00+00,425,TFMV    ,THEFT FROM MOTR VEHC          ,7.0,2021/01/05 00:00:00+00,12706.0,-93.24670596,44.93231944,-10380175,5610872,Standish,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,12
-93.2535257395129,44.9849723472528,0002XX 2ND ST SE,MP20212347          ,2     ,2021/01/04 00:00:00+00,2112,2021/01/01 00:00:00+00,2021/01/04 21:12:00+00,800,TFMV    ,THEFT FROM MOTR VEHC          ,7.0,2021/01/05 00:00:00+00,17807.0,-93.25353282,44.98497549,-10380935,5619156,Marcy Holmes,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,13
-93.2851823701252,44.89424587406221,0004XX 60TH ST W,MP20212348          ,5     ,2021/01/05 00:00:00+00,834,2020/11/22 00:00:00+00,2021/01/05 08:34:00+00,800,TMVP    ,THEFT-MOTR VEH PARTS          ,7.0,2021/01/05 00:00:00+00,12854.0,-93.28518620000001,44.89424901,-10384459,5604888,Windom,2021/01/06 00:00:00+00,2021/01/07 07:00:35+00,14
-93.2455666660956,44.983097970951206,0007XX UNIVERSITY AVE SE,MP20212349          ,2     ,2021/01/04 00:00:00+00,1302,2021/01/04 00:00:00+00,2021/01/04 13:02:00+00,1205,ROBPAG  ,ROBBERY PER AGG               ,4.0,2021/01/05 00:00:00+00,17978.0,-93.24557297,44.98309944,-10380049,5618861,Marcy Holmes,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,15
-93.210128128137,44.968946040720795,0033XX UNIVERSITY AVE SE,MP20212363          ,2     ,2021/01/04 00:00:00+00,1228,2021/01/04 00:00:00+00,2021/01/04 12:28:00+00,1200,ROBPAG  ,ROBBERY PER AGG               ,4.0,2021/01/05 00:00:00+00,15494.0,-93.21012916,44.96894951,-10376104,5616634,Prospect Park - East River Road,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,16
-93.29076090803959,44.9367846045216,0036XX BRYANT AVE S,MP20212365          ,5     ,2021/01/04 00:00:00+00,1720,2021/01/04 00:00:00+00,2021/01/04 17:20:00+00,300,BURGD   ,BURGLARY OF DWELLING          ,6.0,2021/01/05 00:00:00+00,21782.0,-93.29076319,44.93678879,-10385080,5611575,East Harriet,2021/01/06 00:00:00+00,2021/01/07 07:00:35+00,17
-93.2883354567725,44.893310393468106,0060XX LYNDALE AVE S,MP20212368          ,5     ,2021/01/04 00:00:00+00,1530,2020/12/31 00:00:00+00,2021/01/04 15:30:00+00,1900,TFMV    ,THEFT FROM MOTR VEHC          ,7.0,2021/01/05 00:00:00+00,21972.0,-93.28834196,44.89331211,-10384810,5604741,Windom,2021/01/06 00:00:00+00,2021/01/07 07:00:35+00,18
-93.280331467591,45.0089335470621,0028XX 2ND ST N,MP20212370          ,4     ,2021/01/04 00:00:00+00,2134,2020/12/31 00:00:00+00,2021/01/04 21:34:00+00,845,THEFT   ,OTHER THEFT                   ,7.0,2021/01/05 00:00:00+00,21437.0,-93.28033408,45.00893904,-10383919,5622928,Hawthorne,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,19
-93.2581790126846,44.967236388397396,0015XX 11TH AVE S,MP20212379          ,1     ,2021/01/04 00:00:00+00,1319,2021/01/04 00:00:00+00,2021/01/04 13:19:00+00,1300,AUTOTH  ,AUTOMOBILE THEFT              ,8.0,2021/01/05 00:00:00+00,20167.0,-93.25818614,44.96723713,-10381453,5616365,Elliot Park,2021/01/05 00:00:00+00,2021/01/06 07:00:33+00,20
-93.2288310523524,45.003636519944,0015XX NEW BRIGHTON BLVD ,MP20212386          ,2     ,2021/01/04 00:00:00+00,1315,2021/01/04 00:00:00+00,2021/01/04 13:15:00+00,1001,THEFT   ,OTHER THEFT                   ,7.0,2021/01/05 00:00:00+00,21511.0,-93.22883412,45.00363907,-10378186,5622094,Northeast Park,2021/01/07 00:00:00+00,2021/01/08 07:00:46+00,21
