,reportedDateTime,centerLong,centerLat,offense,cluster_no
0,2021/01/04 07:41:00+00,-93.28019274,44.98504707,AUTOTH  ,53
1,2021/01/04 09:00:00+00,-93.27932994,44.96704546,AUTOTH  ,317
2,2021/01/05 09:00:00+00,-93.29685159,45.01947120000001,THEFT   ,377
3,2021/01/04 10:00:00+00,-93.30582718,44.98210834,AUTOTH  ,210
4,2021/01/04 09:51:00+00,-93.26897652,44.9440796,CARJCK  ,340
5,2021/01/04 10:57:00+00,-93.25816416,44.97824419,BURGB   ,179
6,2021/01/04 18:49:00+00,-93.26705649,44.95373676,TFMV    ,360
7,2021/01/04 12:38:00+00,-93.25755429,45.0058149,TMVP    ,246
8,2021/01/04 11:35:00+00,-93.27836561,44.98619968,THFTSW  ,211
9,2021/01/04 19:45:00+00,-93.26393397,44.9043197,BURGD   ,23
10,2021/01/04 13:30:00+00,-93.29018524,44.98278712,BURGD   ,217
11,2021/01/04 22:03:00+00,-93.24670596,44.93231944,TFMV    ,163
12,2021/01/04 21:12:00+00,-93.25353282,44.98497549,TFMV    ,319
13,2021/01/05 08:34:00+00,-93.2851862,44.89424901,TMVP    ,464
14,2021/01/04 13:02:00+00,-93.24557297,44.98309944,ROBPAG  ,93
15,2021/01/04 12:28:00+00,-93.21012916,44.96894951,ROBPAG  ,491
16,2021/01/04 17:20:00+00,-93.29076319,44.93678879,BURGD   ,176
17,2021/01/04 15:30:00+00,-93.28834196,44.89331211,TFMV    ,87
18,2021/01/04 21:34:00+00,-93.28033408,45.00893904,THEFT   ,238
19,2021/01/04 13:19:00+00,-93.25818614,44.96723713,AUTOTH  ,151
20,2021/01/04 13:15:00+00,-93.22883412,45.00363907,THEFT   ,84
21,2021/01/04 14:27:00+00,-93.22979,44.93594,TFMV    ,86
22,2021/01/04 13:30:00+00,-93.23677981,44.98153641,AUTOTH  ,483
23,2021/01/04 14:01:00+00,-93.23233478,44.95197292,AUTOTH  ,461
24,2021/01/04 14:21:00+00,-93.3075977,44.99150434,AUTOTH  ,498
25,2021/01/04 15:35:00+00,-93.26312004,44.97236806,ASLT2   ,126
26,2021/01/04 20:12:00+00,-93.28682278,44.99804509,THEFT   ,194
27,2021/01/04 16:10:00+00,-93.24731731,44.92422671,AUTOTH  ,344
28,2021/01/04 16:00:00+00,-93.31334289,44.99425707,AUTOTH  ,470
29,2021/01/04 17:27:00+00,-93.21974405,44.94835848,TMVP    ,397
30,2021/01/04 16:29:00+00,-93.22294772,44.89993505,TMVP    ,414
31,2021/01/04 18:43:00+00,-93.28890177,44.93043728,AUTOTH  ,119
32,2021/01/04 19:07:00+00,-93.27532211,44.93864844,ROBPAG  ,229
33,2021/01/04 17:29:00+00,-93.28444594,44.91868672,THEFT   ,391
34,2021/01/04 18:58:00+00,-93.26645,44.95194,ASLT2   ,360
35,2021/01/04 19:40:00+00,-93.26501795,44.93325319,TMVP    ,382
36,2021/01/04 21:43:00+00,-93.30214193,45.00392809,ASLT2   ,480
37,2021/01/04 21:25:00+00,-93.28292618,44.96000769,ROBPAG  ,201
38,2021/01/04 22:10:00+00,-93.29828953,44.99741165,AUTOTH  ,452
39,2021/01/04 23:15:00+00,-93.24485196,44.9572173,THEFT   ,488
40,2021/01/04 23:08:00+00,-93.28184,45.01073,ASLT2   ,374
41,2021/01/04 23:50:00+00,-93.23014656,44.94273966,AUTOTH  ,25
42,2021/01/05 00:45:00+00,-93.25233604,44.96047631,BURGD   ,124
43,2021/01/05 01:10:00+00,-93.26458179,44.94835395,AUTOTH  ,398
44,2021/01/05 01:14:00+00,-93.21921931,44.92059183,SHOPLF  ,218
45,2021/01/05 04:31:00+00,-93.26376354,44.92784146,AUTOTH  ,297
46,2021/01/05 04:49:00+00,-93.24859419,44.95823739,DASTR   ,124
47,2021/01/05 06:23:00+00,-93.24062754,44.94565103,AUTOTH  ,159
48,2021/01/05 08:01:00+00,-93.29015579,45.04300215,AUTOTH  ,20
